ID,age,sex,region,income,married
92,28,FEMALE,INNER_CITY,25429.3,NO
93,53,FEMALE,RURAL,34866.5,NO
94,61,MALE,INNER_CITY,42579.1,YES
95,61,FEMALE,INNER_CITY,41127.4,YES
96,18,FEMALE,INNER_CITY,9990.11,YES
97,22,MALE,INNER_CITY,7948.62,YES
98,34,MALE,TOWN,30870.8,YES
99,35,FEMALE,INNER_CITY,12125.8,NO
100,18,FEMALE,RURAL,15348.9,YES
101,54,MALE,INNER_CITY,26707.9,YES
102,27,FEMALE,INNER_CITY,11604.4,YES
103,42,MALE,INNER_CITY,15499.9,YES
104,43,MALE,TOWN,33088.5,NO
105,64,FEMALE,INNER_CITY,34513.6,YES
106,43,MALE,TOWN,32395.5,YES
107,49,MALE,RURAL,46633,YES
108,23,MALE,INNER_CITY,13039.9,YES
109,23,MALE,INNER_CITY,12681.9,NO
110,30,FEMALE,INNER_CITY,24031.5,YES
111,36,MALE,TOWN,37330.5,NO
112,34,MALE,INNER_CITY,25333.2,YES
113,51,FEMALE,INNER_CITY,37094.2,YES
114,36,MALE,TOWN,33630.6,NO
115,56,MALE,INNER_CITY,43228.2,YES
116,54,FEMALE,INNER_CITY,47796.8,YES
117,56,FEMALE,TOWN,21730.3,YES
118,26,MALE,INNER_CITY,10044.1,YES
119,39,MALE,TOWN,17270.1,NO
120,64,FEMALE,RURAL,45765,YES
121,46,MALE,RURAL,29525.5,NO
122,62,FEMALE,RURAL,54863.8,YES
123,36,FEMALE,TOWN,20799,YES
124,35,FEMALE,RURAL,33028.3,NO
125,47,MALE,RURAL,45031.9,NO
126,47,MALE,INNER_CITY,39010.8,YES
127,37,FEMALE,TOWN,25257.7,YES
128,48,FEMALE,INNER_CITY,42603.9,YES
129,41,MALE,TOWN,14092.7,YES
130,27,FEMALE,RURAL,21350.3,NO
131,43,MALE,INNER_CITY,23246.4,NO
132,61,MALE,RURAL,41609.5,YES
133,52,FEMALE,SUBURBAN,16716.1,NO
134,64,FEMALE,SUBURBAN,36436.4,YES
135,66,FEMALE,TOWN,59503.8,YES
136,53,FEMALE,TOWN,31334.8,YES
137,20,FEMALE,INNER_CITY,14048.9,YES
138,57,FEMALE,INNER_CITY,39205.3,NO
139,65,FEMALE,RURAL,42173.9,YES
140,64,FEMALE,INNER_CITY,55263,NO
141,52,MALE,INNER_CITY,37095.2,YES
142,47,FEMALE,INNER_CITY,22791.4,YES
143,28,FEMALE,TOWN,17240.6,YES
144,64,MALE,TOWN,48974.8,YES
145,25,MALE,INNER_CITY,18923,YES
146,58,MALE,SUBURBAN,51204.2,YES
147,34,MALE,TOWN,20236.2,YES
148,20,FEMALE,INNER_CITY,18860.3,NO
149,63,MALE,RURAL,25732.5,YES
150,30,FEMALE,SUBURBAN,28240.4,YES
151,53,MALE,RURAL,28193.6,YES
152,43,MALE,TOWN,36432.8,NO
153,63,MALE,TOWN,54618.8,YES
154,33,MALE,INNER_CITY,24760.8,YES
155,41,MALE,RURAL,23356.1,NO
156,20,FEMALE,SUBURBAN,8143.75,YES
157,50,MALE,TOWN,26462.5,YES
158,24,MALE,RURAL,20467.3,YES
159,60,FEMALE,TOWN,21506.2,YES
160,44,FEMALE,TOWN,15315.3,YES
161,23,MALE,INNER_CITY,18875.7,YES
162,40,FEMALE,INNER_CITY,12977.2,YES
163,49,FEMALE,TOWN,20708.5,NO
164,21,FEMALE,TOWN,7549.38,NO
165,40,FEMALE,INNER_CITY,24904,YES
166,26,MALE,RURAL,24071.8,YES
167,20,MALE,TOWN,9589.91,NO
168,24,MALE,INNER_CITY,8562.86,NO
169,37,FEMALE,TOWN,26707.5,NO
170,56,MALE,INNER_CITY,34020.5,YES
171,52,MALE,INNER_CITY,49175.7,YES
172,22,MALE,INNER_CITY,19726.3,YES
173,35,MALE,INNER_CITY,24346.6,YES
174,34,MALE,RURAL,26999.4,YES
175,67,FEMALE,TOWN,41558.1,YES
176,58,FEMALE,INNER_CITY,56340.3,NO
177,40,MALE,TOWN,37558.5,YES
178,41,FEMALE,INNER_CITY,30099.3,YES
179,43,MALE,INNER_CITY,15254.8,YES
180,63,MALE,INNER_CITY,36086.1,YES
181,22,FEMALE,INNER_CITY,17655,YES
182,60,MALE,RURAL,56658.9,NO
183,65,FEMALE,INNER_CITY,37706.5,NO
184,48,FEMALE,INNER_CITY,18516,YES
185,38,FEMALE,INNER_CITY,29622,NO
186,49,MALE,RURAL,32669.9,YES
187,20,FEMALE,INNER_CITY,18275.5,YES
188,48,FEMALE,TOWN,34410,YES
189,38,MALE,INNER_CITY,34866.9,YES
190,41,FEMALE,INNER_CITY,21796.6,YES
191,67,FEMALE,SUBURBAN,63130.1,YES
192,39,MALE,INNER_CITY,14996.4,YES
193,64,FEMALE,RURAL,49024.9,YES
194,41,MALE,INNER_CITY,16249.8,YES
195,55,MALE,SUBURBAN,36192.1,YES
196,52,MALE,INNER_CITY,17839.9,YES
197,30,FEMALE,INNER_CITY,18802.4,NO
198,52,MALE,INNER_CITY,48720.3,YES
199,26,MALE,INNER_CITY,14585.9,NO
200,26,FEMALE,INNER_CITY,20819,YES
201,46,MALE,TOWN,26077.8,YES
202,46,FEMALE,TOWN,41627.1,YES
203,52,MALE,INNER_CITY,16977.3,YES
204,37,MALE,INNER_CITY,19012.8,NO
205,22,MALE,INNER_CITY,12764.8,YES
206,18,MALE,INNER_CITY,14388.6,NO
207,63,MALE,INNER_CITY,59409.1,NO
208,25,FEMALE,INNER_CITY,14960.2,YES
209,67,MALE,INNER_CITY,39666.6,YES
210,27,MALE,INNER_CITY,20771.9,NO
211,61,MALE,INNER_CITY,24474.1,NO
212,58,MALE,TOWN,33123.7,YES
213,22,MALE,INNER_CITY,14433.4,YES
214,28,MALE,TOWN,13175.5,NO
215,23,MALE,INNER_CITY,9824.37,YES
216,27,MALE,SUBURBAN,17610.3,YES
217,27,FEMALE,SUBURBAN,15156.2,YES
218,40,FEMALE,INNER_CITY,31774.1,YES
219,39,MALE,TOWN,31693.5,NO
220,35,FEMALE,INNER_CITY,28598.7,YES
221,37,FEMALE,INNER_CITY,26261.7,NO
222,47,MALE,INNER_CITY,42124.1,YES
223,42,FEMALE,INNER_CITY,39308.7,YES
224,67,FEMALE,INNER_CITY,43530,YES
225,57,MALE,RURAL,49874.4,YES
226,47,FEMALE,RURAL,27434.8,NO
227,67,MALE,INNER_CITY,50474.6,YES
228,56,MALE,TOWN,24888.2,NO
229,37,MALE,RURAL,28021.6,NO
230,27,MALE,INNER_CITY,12279.5,NO
231,59,FEMALE,INNER_CITY,30189.4,YES
232,31,MALE,INNER_CITY,28969.4,NO
233,31,MALE,SUBURBAN,14058.5,YES
234,32,FEMALE,TOWN,30404.3,YES
235,57,FEMALE,RURAL,41438.2,NO
236,49,FEMALE,INNER_CITY,16711.3,NO
237,65,MALE,TOWN,52255.9,NO
238,22,FEMALE,INNER_CITY,17866.9,YES
239,26,FEMALE,RURAL,18067.5,YES
240,23,MALE,INNER_CITY,12823.7,YES
241,26,FEMALE,RURAL,11299.3,YES
242,59,FEMALE,INNER_CITY,56031.1,NO
243,67,MALE,INNER_CITY,35263.5,YES
244,34,FEMALE,INNER_CITY,19968.1,YES
245,50,MALE,RURAL,27825.5,YES
246,46,MALE,SUBURBAN,37773.9,NO
247,23,FEMALE,INNER_CITY,7606.25,NO
248,26,MALE,RURAL,21384.4,YES
249,40,MALE,TOWN,20347,YES
250,36,MALE,TOWN,21332.3,YES
251,65,MALE,INNER_CITY,57671.7,NO
252,45,FEMALE,TOWN,36057.8,YES
253,23,MALE,INNER_CITY,14290.5,YES
254,42,FEMALE,TOWN,17882.9,YES
255,21,FEMALE,RURAL,10629.1,NO
256,62,FEMALE,INNER_CITY,24262.8,NO
257,49,FEMALE,SUBURBAN,26097.9,NO
258,28,FEMALE,TOWN,23371,YES
259,38,FEMALE,TOWN,21495.6,NO
260,36,MALE,TOWN,12166.9,NO
261,22,MALE,SUBURBAN,17180.2,YES
262,40,FEMALE,TOWN,28882.3,YES
263,40,FEMALE,TOWN,21612.2,YES
264,60,FEMALE,INNER_CITY,46358.4,YES
265,23,MALE,INNER_CITY,19166,NO
266,21,MALE,INNER_CITY,17921.8,YES
267,58,MALE,TOWN,33229,NO
268,48,FEMALE,SUBURBAN,30396.1,NO
269,63,FEMALE,TOWN,34625.2,YES
270,20,MALE,TOWN,16672.8,NO
271,67,FEMALE,SUBURBAN,60747.5,NO
272,62,FEMALE,INNER_CITY,56394.3,NO
273,36,MALE,TOWN,13236.4,YES
274,31,MALE,INNER_CITY,28409.4,YES
275,42,FEMALE,INNER_CITY,27056.5,YES
276,18,MALE,RURAL,9362.58,YES
277,46,FEMALE,SUBURBAN,28702.7,NO
278,25,MALE,TOWN,22366.1,YES
279,65,FEMALE,RURAL,24477.5,NO
280,40,MALE,TOWN,36972.4,YES
281,32,MALE,INNER_CITY,22327.8,YES
282,18,FEMALE,INNER_CITY,15610.2,YES
283,64,MALE,INNER_CITY,54314.5,YES
284,43,FEMALE,INNER_CITY,39175.8,YES
285,22,FEMALE,INNER_CITY,13739,YES
286,25,MALE,TOWN,9485.84,YES
287,39,MALE,INNER_CITY,24675.7,YES
288,58,FEMALE,INNER_CITY,28253.6,YES
289,33,MALE,INNER_CITY,14136.5,YES
290,52,FEMALE,RURAL,37162.1,YES
291,23,MALE,INNER_CITY,13519.2,NO
292,44,FEMALE,INNER_CITY,39253.6,NO
293,51,MALE,RURAL,46323.8,YES
294,26,FEMALE,TOWN,20950.7,YES
295,42,MALE,TOWN,22495.7,YES
296,34,MALE,TOWN,32548.9,YES
297,54,FEMALE,RURAL,24583.4,NO
298,18,MALE,RURAL,8639.24,YES
299,47,FEMALE,INNER_CITY,17139.5,NO
300,24,FEMALE,INNER_CITY,13667.7,YES
