ID,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
29,57,NU,RURAL,50849.2,NO,1,NO,YES,NO,YES,YES
30,27,NU,TOWN,18555.9,YES,3,NO,NO,YES,NO,NO
31,66,NU,RURAL,52769.9,YES,3,YES,YES,YES,NO,YES
32,18,NU,INNER_CITY,11601.4,YES,2,NO,YES,YES,YES,NO
33,33,NU,TOWN,29541.7,YES,0,NO,YES,NO,NO,NO
34,48,NAM,SUBURBAN,17861,YES,2,NO,YES,YES,NO,NO
35,23,NU,SUBURBAN,21042,YES,1,NO,NO,YES,NO,YES
36,44,NAM,TOWN,26688.1,YES,1,NO,YES,NO,YES,YES
37,39,NAM,INNER_CITY,26900.6,YES,2,NO,NO,NO,YES,NO
38,65,NAM,INNER_CITY,38080.9,YES,1,YES,YES,NO,YES,NO
39,60,NAM,SUBURBAN,37554.1,YES,2,YES,YES,YES,YES,YES
40,20,NAM,INNER_CITY,18184.6,YES,0,NO,NO,YES,YES,YES
41,45,NU,SUBURBAN,28864.9,YES,0,NO,YES,YES,NO,NO
42,66,NAM,RURAL,48346.1,YES,1,YES,YES,NO,NO,YES
43,64,NAM,INNER_CITY,53104.3,YES,0,YES,YES,YES,NO,NO
44,51,NU,INNER_CITY,19416.8,YES,0,NO,YES,YES,NO,NO
45,34,NAM,RURAL,23638.1,YES,2,YES,YES,YES,NO,NO
46,65,NU,TOWN,42378.2,YES,1,NO,YES,YES,NO,YES
47,50,NAM,RURAL,39745.3,YES,0,YES,YES,NO,YES,NO
48,66,NU,INNER_CITY,45189.8,YES,0,NO,YES,NO,NO,NO
49,63,NAM,INNER_CITY,37930.9,YES,0,NO,YES,NO,YES,NO
50,53,NU,INNER_CITY,24042,NO,1,NO,NO,YES,NO,YES
51,33,NU,INNER_CITY,31207.1,NO,0,YES,NO,YES,YES,YES
52,38,NAM,TOWN,24424.3,YES,0,NO,YES,YES,YES,NO
53,56,NU,RURAL,24607.8,NO,1,NO,YES,YES,YES,NO
54,48,NAM,TOWN,43057,NO,1,YES,YES,YES,NO,YES
55,49,NU,SUBURBAN,30198.5,YES,0,YES,NO,YES,YES,YES
56,54,NU,RURAL,50186.1,YES,2,NO,YES,YES,YES,YES
57,41,NU,SUBURBAN,22916.1,YES,0,NO,NO,YES,NO,NO
58,19,NAM,RURAL,9592.73,NO,0,NO,YES,YES,NO,YES
59,52,NU,INNER_CITY,34253.6,NO,3,YES,NO,YES,NO,NO
60,52,NU,INNER_CITY,22792.3,YES,1,YES,YES,NO,NO,YES
61,64,NU,TOWN,51620.8,NO,2,YES,YES,YES,NO,YES
62,56,NAM,TOWN,19918.9,YES,3,NO,YES,YES,YES,NO
63,56,NAM,TOWN,29625.1,YES,2,NO,NO,YES,NO,NO
64,19,NU,TOWN,12549,YES,0,NO,YES,YES,NO,NO
65,56,NU,TOWN,51299.3,YES,1,YES,YES,NO,NO,YES
66,27,NAM,INNER_CITY,17364.8,YES,2,YES,YES,NO,NO,YES
67,59,NU,INNER_CITY,29866.9,NO,1,YES,NO,YES,NO,YES
68,56,NAM,INNER_CITY,47750.2,YES,0,YES,YES,YES,YES,NO
69,21,NAM,TOWN,11281.5,YES,0,NO,YES,YES,YES,NO
70,64,NAM,INNER_CITY,34073.8,YES,3,NO,YES,NO,YES,NO
71,62,NAM,INNER_CITY,46870.4,YES,0,NO,YES,YES,NO,NO
72,44,NU,INNER_CITY,38453.7,NO,2,NO,YES,YES,NO,YES
73,24,NU,INNER_CITY,7756.36,NO,0,NO,NO,NO,NO,YES
74,52,NU,INNER_CITY,28413.8,YES,0,NO,NO,YES,NO,NO
75,67,NU,SUBURBAN,47198.6,YES,2,NO,YES,YES,NO,YES
76,41,NAM,INNER_CITY,20866.3,YES,0,YES,YES,YES,NO,NO
77,58,NU,TOWN,33204.3,NO,1,NO,NO,NO,YES,YES
78,40,NAM,INNER_CITY,24823.5,NO,2,NO,NO,YES,NO,NO
79,19,NAM,SUBURBAN,17986.8,YES,0,NO,NO,YES,YES,YES
80,20,NU,INNER_CITY,9909.82,YES,3,NO,NO,YES,NO,NO
81,56,NU,TOWN,26542.8,NO,0,YES,YES,YES,NO,YES
82,46,NU,INNER_CITY,32583.5,YES,2,YES,YES,YES,NO,NO
83,30,NAM,INNER_CITY,14606.6,YES,1,NO,NO,YES,NO,NO
84,40,NU,TOWN,34836.8,YES,1,YES,YES,YES,NO,YES
85,36,NU,TOWN,26920.8,YES,0,NO,NO,YES,NO,NO
86,57,NU,INNER_CITY,38248.3,NO,3,YES,NO,YES,YES,NO
87,49,NAM,INNER_CITY,15689.1,NO,0,NO,NO,YES,NO,NO
88,61,NAM,INNER_CITY,30157.7,NO,1,YES,NO,NO,NO,YES
89,29,NAM,INNER_CITY,14642.2,NO,0,YES,NO,YES,NO,YES
90,48,NU,INNER_CITY,15933.3,YES,0,NO,YES,NO,NO,NO
91,56,NU,INNER_CITY,44288.3,YES,0,NO,YES,YES,NO,NO
92,40,NAM,TOWN,22197.1,NO,0,YES,NO,YES,NO,YES
93,58,NU,TOWN,38248.3,YES,3,YES,YES,NO,NO,NO
94,60,NU,INNER_CITY,22053.2,YES,2,YES,YES,NO,YES,NO
95,58,NU,SUBURBAN,25468.5,NO,0,YES,NO,NO,YES,YES
96,67,NU,TOWN,23485.9,YES,3,YES,NO,NO,YES,NO
97,40,NAM,RURAL,25768.6,YES,0,YES,YES,NO,NO,NO
98,48,NAM,INNER_CITY,34182.2,YES,2,NO,YES,YES,NO,YES
99,64,NU,INNER_CITY,57444.5,NO,1,NO,YES,YES,NO,YES
100,43,NAM,TOWN,38059.8,YES,0,YES,YES,NO,YES,NO
101,34,NU,RURAL,19481.3,NO,0,NO,NO,YES,YES,YES
102,26,NAM,RURAL,19563.8,NO,3,YES,NO,NO,YES,NO
103,48,NAM,INNER_CITY,38598.4,YES,0,YES,NO,YES,NO,NO
104,35,NAM,INNER_CITY,20754.3,NO,0,NO,NO,NO,YES,YES
105,24,NU,INNER_CITY,13864.6,YES,3,NO,YES,YES,NO,YES
106,47,NAM,SUBURBAN,36599,YES,3,YES,YES,YES,NO,YES
107,52,NAM,SUBURBAN,45856.1,NO,1,NO,YES,YES,NO,YES
108,31,NAM,SUBURBAN,22362.3,NO,0,NO,YES,YES,NO,YES
109,41,NU,SUBURBAN,21984,YES,1,YES,NO,NO,NO,YES
110,23,NAM,SUBURBAN,11073,YES,2,NO,YES,NO,NO,NO
111,27,NU,INNER_CITY,18158.5,NO,1,YES,NO,YES,YES,YES
112,22,NAM,INNER_CITY,7304.2,NO,0,YES,YES,YES,YES,NO
113,67,NU,INNER_CITY,58092,NO,2,YES,YES,YES,NO,YES
114,26,NU,INNER_CITY,16518.6,YES,0,YES,NO,YES,NO,YES
115,58,NU,SUBURBAN,46461.5,YES,0,NO,YES,YES,NO,NO
116,27,NAM,RURAL,20058.7,YES,0,NO,YES,YES,YES,NO
117,36,NAM,INNER_CITY,12533.2,NO,1,NO,YES,NO,YES,NO
118,31,NAM,RURAL,22848.5,YES,1,YES,NO,NO,NO,YES
119,28,NU,TOWN,25699.4,YES,2,YES,YES,NO,NO,YES
120,57,NAM,TOWN,21612.6,YES,0,NO,YES,YES,YES,NO
121,64,NAM,INNER_CITY,48950.9,YES,0,YES,YES,YES,YES,NO
122,49,NAM,INNER_CITY,41438,NO,1,NO,YES,NO,NO,YES
123,22,NAM,INNER_CITY,11411,YES,1,YES,NO,YES,NO,NO
124,58,NU,INNER_CITY,43940.6,YES,0,YES,YES,YES,NO,NO
125,20,NAM,TOWN,17239.5,NO,1,YES,NO,YES,NO,YES
126,44,NU,RURAL,30488.7,YES,0,NO,YES,YES,NO,NO
127,65,NU,TOWN,29866.3,YES,3,NO,YES,NO,NO,NO
128,53,NU,INNER_CITY,32184.4,YES,2,YES,NO,NO,NO,YES
129,34,NU,INNER_CITY,17308.7,YES,1,YES,NO,YES,YES,YES
130,35,NAM,RURAL,27863.9,NO,2,NO,YES,YES,YES,NO
131,48,NAM,TOWN,28920.6,YES,0,NO,YES,NO,YES,NO
132,64,NU,TOWN,58367.3,YES,1,YES,YES,YES,NO,YES
133,46,NAM,TOWN,16849.3,NO,0,YES,YES,YES,YES,NO
134,42,NU,RURAL,28138.5,YES,0,NO,NO,YES,YES,YES
135,47,NAM,INNER_CITY,23038.2,YES,0,YES,YES,NO,NO,NO
136,23,NAM,TOWN,11736.9,NO,2,YES,YES,YES,YES,NO
137,35,NAM,INNER_CITY,16479.5,YES,0,YES,NO,NO,YES,YES
138,64,NU,INNER_CITY,31415.7,NO,1,YES,YES,NO,YES,YES
139,18,NU,SUBURBAN,12117.3,YES,1,NO,NO,YES,NO,NO
140,19,NAM,INNER_CITY,15417.1,YES,1,YES,NO,YES,NO,NO
141,40,NAM,INNER_CITY,29414.6,YES,1,NO,YES,NO,YES,YES
142,47,NAM,INNER_CITY,44682.1,YES,0,YES,YES,YES,NO,NO
143,43,NU,RURAL,36281,YES,0,YES,YES,YES,NO,NO
144,38,NAM,TOWN,33302.8,NO,0,YES,NO,YES,YES,YES
145,21,NU,RURAL,15797.1,YES,0,NO,YES,YES,NO,YES
146,40,NAM,RURAL,31864.8,YES,0,YES,YES,YES,NO,NO
147,52,NU,TOWN,43719.5,YES,0,NO,YES,YES,NO,NO
148,35,NU,TOWN,30799.5,YES,2,NO,NO,YES,NO,YES
149,53,NAM,RURAL,48971.6,YES,3,YES,YES,NO,NO,YES
150,38,NU,RURAL,34061.4,NO,0,YES,YES,YES,NO,YES
151,42,NAM,INNER_CITY,28938.6,YES,3,YES,NO,NO,NO,NO
152,43,NAM,TOWN,38540,NO,0,YES,YES,NO,YES,NO
153,59,NU,INNER_CITY,27045.1,NO,0,NO,NO,YES,NO,YES
154,59,NU,RURAL,51284.3,NO,0,YES,YES,YES,YES,NO
155,24,NAM,INNER_CITY,16352.2,NO,0,NO,YES,YES,YES,NO
156,27,NU,INNER_CITY,11866.4,YES,0,YES,YES,YES,NO,NO
157,32,NU,TOWN,13267.6,YES,0,YES,YES,YES,YES,NO
158,65,NU,INNER_CITY,61554.6,YES,0,NO,YES,YES,NO,NO
159,18,NAM,SUBURBAN,13700.2,NO,1,NO,YES,YES,NO,NO
160,66,NAM,TOWN,46963.9,YES,1,NO,YES,YES,NO,YES
161,41,NAM,INNER_CITY,23475.6,YES,0,YES,NO,YES,YES,YES
162,64,NU,SUBURBAN,24554.1,YES,0,YES,YES,NO,YES,NO
163,23,NU,INNER_CITY,18050,YES,0,YES,NO,YES,YES,YES
164,29,NU,RURAL,15237.6,YES,2,YES,NO,YES,NO,NO
165,28,NAM,TOWN,20555,NO,0,YES,YES,YES,NO,YES
166,57,NU,TOWN,28421.7,YES,2,YES,YES,YES,YES,NO
167,38,NAM,INNER_CITY,21876.5,YES,0,NO,NO,YES,NO,NO
168,34,NU,SUBURBAN,12810.2,NO,3,NO,YES,YES,NO,YES
169,43,NAM,SUBURBAN,15109.4,YES,0,NO,NO,YES,NO,YES
170,63,NAM,TOWN,37414.7,NO,3,YES,YES,YES,NO,NO
171,62,NU,INNER_CITY,41521.6,YES,0,NO,YES,YES,YES,NO
172,51,NU,INNER_CITY,25372.8,YES,0,YES,YES,YES,NO,NO
173,61,NAM,INNER_CITY,21139.8,YES,2,YES,YES,NO,NO,NO
174,41,NU,TOWN,27757.6,NO,0,NO,YES,YES,NO,YES
175,31,NU,TOWN,22678.1,NO,1,YES,YES,YES,YES,YES
176,33,NU,TOWN,12178.5,YES,2,NO,YES,YES,YES,NO
177,43,NAM,RURAL,26106.7,NO,1,NO,NO,YES,NO,YES
178,40,NAM,INNER_CITY,27417.6,YES,0,NO,YES,YES,YES,NO
179,47,NAM,TOWN,23337.2,YES,2,NO,YES,YES,YES,NO
180,46,NAM,TOWN,43395.5,NO,1,YES,YES,YES,NO,YES
181,30,NAM,RURAL,11536.2,YES,2,NO,NO,YES,YES,NO
182,47,NAM,INNER_CITY,44658.6,NO,2,YES,YES,YES,NO,YES
183,44,NAM,RURAL,32762.5,NO,0,NO,YES,YES,YES,NO
184,23,NAM,RURAL,16403.8,YES,0,YES,YES,NO,NO,NO
185,28,NU,INNER_CITY,21184.7,YES,1,YES,YES,YES,NO,YES
186,64,NU,INNER_CITY,49917.3,YES,0,YES,YES,YES,YES,NO
187,35,NU,TOWN,21623.8,YES,0,NO,YES,NO,YES,NO
188,19,NAM,RURAL,16625.9,YES,1,NO,NO,YES,NO,YES
189,27,NU,TOWN,14014.5,YES,3,NO,YES,NO,NO,NO
190,27,NAM,INNER_CITY,20409.3,YES,2,NO,YES,NO,NO,YES
191,58,NU,INNER_CITY,31671.3,YES,1,YES,YES,NO,YES,YES
192,46,NU,TOWN,17149.2,NO,1,YES,YES,YES,NO,YES
193,61,NU,TOWN,27756.3,YES,0,YES,YES,NO,YES,YES
194,59,NAM,INNER_CITY,40949.9,NO,0,NO,YES,YES,NO,YES
195,47,NU,RURAL,43743.2,YES,3,NO,YES,YES,NO,NO
196,44,NAM,INNER_CITY,38459.9,YES,0,NO,NO,NO,YES,YES
197,50,NAM,TOWN,40972.9,NO,2,YES,YES,YES,YES,YES
198,64,NAM,INNER_CITY,46587.9,NO,0,NO,YES,YES,NO,YES
199,51,NU,TOWN,43799.6,NO,0,NO,YES,YES,YES,NO
200,46,NU,TOWN,18912.2,YES,0,YES,NO,YES,NO,YES
201,39,NU,INNER_CITY,27765.8,YES,3,YES,YES,NO,NO,NO
202,58,NU,INNER_CITY,33007.3,NO,1,YES,NO,YES,NO,YES
203,32,NU,TOWN,26325.3,YES,0,YES,NO,NO,NO,NO
204,22,NU,INNER_CITY,15308.2,NO,0,YES,YES,YES,YES,NO
205,63,NU,INNER_CITY,59805.6,YES,1,YES,YES,YES,NO,YES
206,35,NU,TOWN,28658.3,YES,0,YES,YES,YES,NO,NO
207,59,NU,INNER_CITY,23175,YES,0,NO,NO,NO,YES,YES
208,22,NU,SUBURBAN,11595.4,NO,0,YES,YES,YES,NO,YES
209,60,NAM,SUBURBAN,50409.9,NO,2,NO,YES,YES,YES,YES
210,23,NU,RURAL,11215.3,YES,2,YES,YES,YES,NO,YES
211,29,NU,TOWN,13327.8,YES,0,NO,YES,NO,NO,NO
212,44,NAM,INNER_CITY,16088.8,YES,3,NO,YES,YES,NO,NO
213,63,NU,TOWN,43943,YES,0,YES,YES,YES,YES,NO
214,25,NU,RURAL,14505.3,NO,3,NO,YES,YES,NO,NO
215,37,NAM,INNER_CITY,33886.4,NO,0,YES,YES,NO,NO,YES
216,48,NU,INNER_CITY,16662.5,YES,1,NO,YES,YES,NO,YES
217,35,NU,TOWN,20262.6,NO,0,NO,YES,NO,NO,YES
218,51,NAM,TOWN,33615.4,YES,1,NO,YES,NO,YES,YES
219,27,NU,TOWN,22007.1,NO,3,NO,NO,YES,NO,NO
220,56,NU,INNER_CITY,28981.1,YES,3,YES,YES,YES,YES,NO
221,38,NU,INNER_CITY,12163.9,YES,2,YES,NO,YES,NO,YES
222,36,NU,TOWN,17247.7,YES,2,YES,YES,YES,NO,NO
223,27,NAM,SUBURBAN,12683.6,NO,3,NO,YES,YES,YES,NO
224,34,NU,TOWN,16291,YES,0,YES,YES,NO,YES,NO
225,44,NAM,SUBURBAN,18707.3,YES,0,YES,YES,YES,YES,YES
226,43,NU,INNER_CITY,19326.9,YES,1,NO,NO,YES,NO,YES
227,32,NAM,INNER_CITY,14511.8,NO,2,NO,YES,NO,YES,NO
228,21,NU,TOWN,10672,NO,1,NO,YES,YES,YES,NO
229,30,NU,INNER_CITY,25830.5,YES,2,NO,NO,YES,NO,NO
230,55,NAM,RURAL,43499.5,YES,1,YES,YES,YES,NO,NO
231,64,NAM,SUBURBAN,59175.1,YES,1,NO,YES,YES,NO,YES
232,36,NU,INNER_CITY,27642.9,NO,1,YES,NO,NO,NO,YES
233,59,NAM,INNER_CITY,30067.5,NO,1,NO,YES,YES,NO,YES
234,60,NAM,INNER_CITY,29714.4,YES,0,YES,NO,YES,YES,YES
235,27,NU,TOWN,13950.4,NO,1,YES,YES,YES,YES,NO
236,29,NAM,INNER_CITY,10072.6,YES,0,NO,NO,YES,NO,NO
237,53,NU,INNER_CITY,37850.6,NO,1,NO,YES,YES,NO,YES
238,61,NU,RURAL,57176.4,NO,2,NO,YES,YES,NO,YES
239,43,NU,INNER_CITY,38784,YES,0,NO,YES,YES,NO,NO
240,19,NAM,INNER_CITY,10191.8,YES,0,NO,YES,YES,YES,YES
241,48,NU,INNER_CITY,21821.4,YES,1,YES,YES,NO,YES,YES
242,39,NAM,RURAL,37389,YES,2,NO,YES,YES,NO,YES
243,32,NAM,INNER_CITY,14627.9,YES,2,YES,YES,YES,NO,NO
244,63,NAM,SUBURBAN,48770.5,YES,1,YES,YES,NO,YES,YES
245,46,NAM,RURAL,21096.2,YES,1,YES,YES,YES,NO,YES
246,40,NAM,INNER_CITY,36256.9,NO,0,NO,NO,YES,YES,YES
247,27,NU,INNER_CITY,15281.8,NO,0,YES,NO,NO,YES,YES
248,22,NAM,SUBURBAN,9316.98,YES,2,YES,YES,YES,NO,NO
249,42,NAM,RURAL,20736.2,YES,1,YES,YES,YES,NO,YES
250,58,NU,TOWN,52662.5,YES,1,YES,YES,YES,YES,YES
251,23,NU,INNER_CITY,8020.19,YES,1,YES,NO,YES,NO,NO
252,58,NAM,SUBURBAN,32245.4,YES,3,NO,NO,NO,NO,NO
253,45,NAM,INNER_CITY,41107.2,YES,2,YES,YES,YES,NO,NO
254,49,NU,SUBURBAN,39358.3,YES,0,YES,NO,NO,YES,NO
255,67,NU,INNER_CITY,36095.9,YES,3,YES,YES,YES,NO,NO
256,20,NU,TOWN,7723.93,YES,2,YES,YES,YES,NO,NO
257,43,NU,RURAL,18565.8,YES,1,YES,YES,YES,YES,YES
258,41,NAM,RURAL,25132.9,YES,0,NO,NO,YES,NO,NO
259,38,NU,SUBURBAN,31290.6,YES,0,NO,YES,YES,NO,NO
260,67,NU,SUBURBAN,24858.4,YES,0,NO,NO,YES,YES,YES
261,40,NAM,INNER_CITY,16398.8,NO,1,NO,YES,YES,NO,YES
262,25,NU,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES,YES
263,57,NU,RURAL,50897.6,YES,0,NO,YES,YES,NO,NO
264,32,NU,INNER_CITY,22446.5,NO,1,NO,NO,YES,YES,YES
265,44,NAM,SUBURBAN,23092.1,YES,0,YES,NO,YES,YES,YES
266,30,NAM,TOWN,24867.6,YES,0,YES,YES,NO,NO,NO
267,43,NAM,TOWN,22234.7,YES,0,NO,NO,YES,YES,NO
268,19,NU,INNER_CITY,17371.1,YES,2,YES,YES,YES,NO,NO
269,37,NU,TOWN,29574,YES,0,YES,YES,YES,NO,NO
270,49,NAM,INNER_CITY,17944.2,NO,1,YES,YES,YES,YES,YES
271,49,NU,RURAL,33665.5,NO,3,YES,NO,YES,NO,NO
272,40,NAM,INNER_CITY,36166.2,YES,0,NO,NO,NO,NO,NO
273,33,NU,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,YES
274,39,NAM,TOWN,22400.7,YES,2,YES,YES,YES,NO,NO
275,43,NU,INNER_CITY,28469.9,YES,0,YES,YES,YES,NO,NO
276,37,NAM,TOWN,30488,YES,0,NO,YES,YES,YES,NO
277,24,NU,TOWN,19160.3,YES,1,YES,YES,YES,NO,YES
278,62,NAM,TOWN,45342.5,YES,0,YES,YES,NO,NO,YES
279,18,NAM,INNER_CITY,6294.21,NO,0,NO,YES,YES,YES,NO
280,47,NU,TOWN,25127.7,YES,0,YES,NO,NO,NO,NO
281,63,NAM,SUBURBAN,51879.3,YES,2,YES,YES,NO,YES,YES
282,20,NAM,TOWN,12644.9,YES,2,YES,NO,YES,YES,NO
283,46,NU,TOWN,21984.4,NO,3,NO,YES,NO,NO,NO
284,47,NU,RURAL,29093.1,NO,2,YES,YES,YES,NO,NO
285,33,NAM,TOWN,23528.4,YES,1,NO,YES,YES,YES,YES
286,20,NAM,TOWN,9516.91,NO,3,YES,YES,YES,NO,NO
287,20,NAM,INNER_CITY,18364.9,YES,1,NO,NO,YES,NO,YES
288,43,NU,TOWN,31273.8,NO,1,YES,YES,NO,NO,YES
289,58,NAM,RURAL,49673.6,YES,0,NO,YES,YES,NO,NO
290,29,NAM,SUBURBAN,12623.4,YES,1,YES,YES,YES,NO,NO
291,25,NAM,INNER_CITY,23818.6,YES,0,NO,NO,NO,NO,NO
292,40,NU,INNER_CITY,31473.9,NO,2,NO,YES,YES,YES,YES
293,48,NAM,TOWN,20268,YES,0,NO,YES,YES,NO,NO
294,65,NAM,SUBURBAN,51417,YES,2,NO,YES,YES,NO,YES
295,59,NU,RURAL,30971.8,YES,3,YES,YES,YES,YES,NO
296,61,NU,INNER_CITY,47025,NO,2,YES,YES,YES,YES,NO
297,30,NU,INNER_CITY,9672.25,YES,0,YES,YES,YES,NO,NO
298,31,NU,TOWN,15976.3,YES,0,YES,YES,NO,NO,YES
299,29,NAM,INNER_CITY,14711.8,YES,0,NO,YES,NO,YES,NO
300,38,NAM,TOWN,26671.6,NO,0,YES,NO,YES,YES,YES
